=== STATUS VALUES for UI_Ready / API_Ready / DB_Verified ===,,,,,,,,,,,,,
(blank) = TODO - Not started. Pending coding.,,,,,,,,,,,,,
Done = Completed. No action needed.,,,,,,,,,,,,,
Reopened = Was Done but needs rework. Coding AI: pick this up.,,,,,,,,,,,,,
Discussion_Pending = Waiting on human decision before coding can proceed.,,,,,,,,,,,,,
Blocked = Serious obstacle - dependency missing or external issue. Cannot proceed until resolved.,,,,,,,,,,,,,
Deprecated = Archived. Intentionally dropped - do not implement.,,,,,,,,,,,,,
===,,,,,,,,,,,,,
UR_ID,Comp_ID,Label,Path,Archetype,Links_To,Trigger,API_Endpoint,DB_Tables,Notes,UI_Ready,API_Ready,DB_Verified,Polish suggestion
2.1.1,FORGOT-007,Reset Password Button,/forgot-password,ACTION,/login,onClick,POST /api/auth/reset-password,"auth.user_account, auth.otp, audit.audit_log",,Done,Done,Done,
,,,,,,,,,[DONE] Batch 1: Sidebar renamed to User Management + Roles and Permissions,,,,
,,,,,,,,,"[DONE] Batch 3: Archived records toggle added to Vaccine Types, Breeding Types, Goat Breeds",,,,
,,,,,,,,,Discussion_Pending,,,,Deferred - system clock display on all pages. Needs design decision.
,,,,,,,,,Discussion_Pending,,,,Deferred - dashboard widget toggles + urgent info prioritization. Needs design decision.
2.1.2,NAV-001,Admin/User View Toggle,/navigation,INPUT,,onChange,,,"Sidebar labels: Dashboard, Vaccine Types, Breeding Types, Goat Breeds, Premise Management, User Management, Roles and Permissions",,,,
2.1.2,A-DASH-001,Total Premises Card,/admin/dashboard,CONTAINER,,onLoad,GET /api/admin/dashboard,core.premise,,Done,Done,Done,
2.1.2,A-DASH-002,Premises by Location Card,/admin/dashboard,CONTAINER,,onLoad,GET /api/admin/dashboard,core.premise,Shows Premise ID column,Done,Done,Done,
2.1.2,A-DASH-003,Premise ID Filter,/admin/dashboard,INPUT,,onChange,GET /api/admin/dashboard?premise_id=,core.premise,Dropdown filter from existing premises,Reopened,Done,Done,
2.1.2,A-DASH-004,IC Number Search,/admin/dashboard,INPUT,,onChange,GET /api/admin/dashboard?ic=,core.user_profile,,Done,Done,Done,Deferred - needs user overview container on dashboard
2.1.2,A-DASH-005,State Distribution Chart,/admin/dashboard,DISPLAY,,onLoad,GET /api/admin/dashboard,core.premise,,Done,Done,Done,
,,,,,,,,,[DONE] Batch 2: Created date column added. Vax is both log + reminder (URS 2.2.8).,,,,
,,,,,,,,,[DONE] Batch 3: Archive toggle + in-use warning implemented for vaccine types.,,,,
2.1.3,A-VAX-001,Add Vaccine Button,/admin/vaccine-types,ACTION,,onClick,,,Opens modal,Done,Done,Done,
2.1.3,A-VAX-002,Vaccine List Table,/admin/vaccine-types,DISPLAY,,onLoad,GET /api/admin/vaccine-types,admin_ref.vaccine_type,,Done,Done,Done,
2.1.3,A-VAX-003,Search Bar,/admin/vaccine-types,INPUT,,onChange,GET /api/admin/vaccine-types?name=,admin_ref.vaccine_type,,Done,Done,Done,
2.1.3,A-VAX-004,Edit Row Button,/admin/vaccine-types,ACTION,,onClick,,,Opens modal with data,Done,Done,Done,
2.1.3,A-VAX-005,Delete Row Button,/admin/vaccine-types,ACTION,,onClick,DELETE /api/admin/vaccine-types/:id,"admin_ref.vaccine_type, farm.vaccination, audit.audit_log",Confirm first. Shows in-use warning (409) with descriptive archive message,Done,Done,Done,
2.1.3,A-VAX-006,Vaccine Form Modal,/admin/vaccine-types,CONTAINER,,onOpen,,,Create or Edit,Done,Done,Done,
2.1.3,A-VAX-007,Vaccine Name Input,/admin/vaccine-types,INPUT,,onChange,,,"Required, unique",Done,Done,Done,
2.1.3,A-VAX-008,Interval Days Input,/admin/vaccine-types,INPUT,,onChange,,,"Number, positive",Done,Done,Done,
2.1.3,A-VAX-009,Save Vaccine Button,/admin/vaccine-types,ACTION,,onClick,POST /api/admin/vaccine-types,"admin_ref.vaccine_type, audit.audit_log",Or PATCH if editing,Done,Done,Done,
,A-VAX-010,Cancel Button,/admin/vaccine-types,ACTION,,onClick,,,Closes modal,Done,Done,Done,
2.1.3,A-VAX-011,Created Date Column,/admin/vaccine-types,DISPLAY,,onLoad,,,Shows formatted created_at date,Done,Done,Done,
2.1.3,A-VAX-012,Archived Records Toggle,/admin/vaccine-types,ACTION,,onClick,GET /api/admin/vaccine-types/archived,,Shows/hides soft-deleted records,Done,Done,Done,
,,,,,,,,,[DONE] Batch 3: Archive toggle + in-use warning implemented for breeding types.,,,,
2.1.4,A-BRTYPE-001,Add Breeding Type Button,/admin/breeding-types,ACTION,,onClick,,,Opens modal,Done,Done,Done,
2.1.4,A-BRTYPE-002,Breeding Type List Table,/admin/breeding-types,DISPLAY,,onLoad,GET /api/admin/breeding-types,admin_ref.breeding_type,,Done,Done,Done,
2.1.4,A-BRTYPE-003,Edit Row Button,/admin/breeding-types,ACTION,,onClick,,,,Done,Done,Done,
2.1.4,A-BRTYPE-004,Delete Row Button,/admin/breeding-types,ACTION,,onClick,DELETE /api/admin/breeding-types/:id,"admin_ref.breeding_type, farm.breeding_program, audit.audit_log",Warn if in use. Shows in-use warning (409) with descriptive archive message,Done,Done,Done,
2.1.4,A-BRTYPE-005,Breeding Type Form Modal,/admin/breeding-types,CONTAINER,,onOpen,,,,Done,Done,Done,
2.1.4,A-BRTYPE-006,Breeding Type Name Input,/admin/breeding-types,INPUT,,onChange,,,Required,Done,Done,Done,
2.1.4,A-BRTYPE-007,Save Breeding Type Button,/admin/breeding-types,ACTION,,onClick,POST /api/admin/breeding-types,"admin_ref.breeding_type, audit.audit_log",Or PATCH if editing,Done,Done,Done,
2.1.4,A-BRTYPE-008,Created Date Column,/admin/breeding-types,DISPLAY,,onLoad,,,Shows formatted created_at date,Done,Done,Done,
2.1.4,A-BRTYPE-009,Archived Records Toggle,/admin/breeding-types,ACTION,,onClick,GET /api/admin/breeding-types/archived,,Shows/hides soft-deleted records,Done,Done,Done,
2.1.5,A-GBREED-001,Add Goat Breed Button,/admin/goat-breeds,ACTION,,onClick,,,Opens modal,Done,Done,Done,
2.1.5,A-GBREED-002,Goat Breed List Table,/admin/goat-breeds,DISPLAY,,onLoad,GET /api/admin/goat-breeds,admin_ref.breed_type,,Done,Done,Done,
2.1.5,A-GBREED-003,Edit Row Button,/admin/goat-breeds,ACTION,,onClick,,,,Done,Done,Done,
2.1.5,A-GBREED-004,Delete Row Button,/admin/goat-breeds,ACTION,,onClick,DELETE /api/admin/goat-breeds/:id,"admin_ref.breed_type, farm.goat, audit.audit_log",Warn if in use. Shows in-use warning (409) with descriptive archive message,Done,Done,Done,
2.1.5,A-GBREED-005,Goat Breed Form Modal,/admin/goat-breeds,CONTAINER,,onOpen,,admin_ref.breed_type,,Done,Done,Done,
2.1.5,A-GBREED-006,Goat Breed Name Input,/admin/goat-breeds,INPUT,,onChange,,,Required,Done,Done,Done,
2.1.5,A-GBREED-007,Save Goat Breed Button,/admin/goat-breeds,ACTION,,onClick,POST /api/admin/goat-breeds,"admin_ref.breed_type, audit.audit_log",Or PATCH if editing,Done,Done,Done,
2.1.5,A-GBREED-008,Created Date Column,/admin/goat-breeds,DISPLAY,,onLoad,,,Shows formatted created_at date,Done,Done,Done,
2.1.5,A-GBREED-009,Archived Records Toggle,/admin/goat-breeds,ACTION,,onClick,GET /api/admin/goat-breeds/archived,,Shows/hides soft-deleted records,Done,Done,Done,
,,,,,,,,,[DONE] Batch 6: Premise Management page created. See A-PREM-001 through A-PREM-010.,,,,
,,,,,,,,,"[DONE] Batch 4A: # column removed, registered date added, newest first.",,,,
,,,,,,,,,[DONE] Batch 4B: Role dropdown added to create/edit modal.,,,,
2.1.6,A-UREG-001,Add User Button,/admin/users,ACTION,,onClick,,,Opens modal,Done,Done,Done,
2.1.6,A-UREG-002,User List Table,/admin/users,DISPLAY,,onLoad,GET /api/admin/users,"core.user_profile, auth.user_account",No # column. Has Registered date and Role columns. Active/inactive split sections,Reopened,Done,Done,
2.1.6,A-UREG-003,Search Bar,/admin/users,INPUT,,onChange,GET /api/admin/users?q=,core.user_profile,,Done,Done,Done,
2.1.6,A-UREG-004,User Registration Form Modal,/admin/users,CONTAINER,,onOpen,,,,Done,Done,Done,
2.1.6,A-UREG-005,Individual Tab,/admin/users,CONTAINER,,onClick,,,"Fields: Email, Name, IC/Passport, Address, Phone, Premise ID (dropdown), Role, Upload Docs",Reopened,,,
2.1.6,A-UREG-006,Company Tab,/admin/users,CONTAINER,,onClick,,,"Fields: Company Name, Reg No, Company Address, Company Email, Phone, Premise ID (dropdown), Person in Charge, Role. PiC dropdown DEFERRED",Reopened,,,
2.1.6,A-UREG-007,Full Name Input,/admin/users,INPUT,,onChange,,,Individual only,Done,,,
2.1.6,A-UREG-008,IC/Passport Input,/admin/users,INPUT,,onChange,,,Unique. Accepts IC or passport,Reopened,,,
2.1.6,A-UREG-009,Address Input,/admin/users,INPUT,,onChange,,,,Done,,,
2.1.6,A-UREG-010,Phone Number Input,/admin/users,INPUT,,onChange,,,Format validation,Done,,,
2.1.6,A-UREG-011,Premise ID Dropdown,/admin/users,INPUT,,onChange,GET /api/admin/premises/dropdown,,Dropdown from GET /api/admin/premises/dropdown. Both tabs,Reopened,,,
2.1.6,A-UREG-012,Email Input,/admin/users,INPUT,,onChange,,,Format validation,Done,,,
2.1.6,A-UREG-013,Upload Documents Input,/admin/users,INPUT,,onChange,,,Multiple files,Discussion_Pending,,,"Deferred - storage decision needed (local vs S3). Supports JPEG, JPG, PNG, PDF"
2.1.6,A-UREG-014,Company Name Input,/admin/users,INPUT,,onChange,,,Company only,Done,Done,Done,
2.1.6,A-UREG-015,Company Registration Number Input,/admin/users,INPUT,,onChange,,,Company only,Done,,,
2.1.6,A-UREG-016,Person in Charge Input,/admin/users,INPUT,,onChange,,,Company only. DEFERRED - keep text input until person_in_charge migration,Done,,,
2.1.6,A-UREG-017,Save User Button,/admin/users,ACTION,,onClick,POST /api/admin/users,"auth.user_account, core.premise, core.user_profile, core.user_document, rbac.user_role, notify.notification, audit.audit_log",Auto-sends credentials,Done,,,
2.1.6,A-UREG-018,View Details Button,/admin/users,ACTION,,onClick,GET /api/admin/users/:id,"core.user_profile, core.user_document",,Done,,,
2.1.6,A-UREG-019,Edit Row Button,/admin/users,ACTION,,onClick,,,"Opens modal with role dropdown, status select, and premise dropdown",Reopened,,,
2.1.6,A-UREG-020,Delete Row Button,/admin/users,ACTION,,onClick,DELETE /api/admin/users/:id,"auth.user_account, audit.audit_log",Soft delete if active. Permanent delete if already inactive (with warning),Reopened,,,
2.1.6,A-UREG-021,Resend Credentials Button,/admin/users,ACTION,,onClick,POST /api/admin/users/:id/resend,notify.notification,Shows warning about password renewal before resend,Reopened,,,
2.1.6,A-UREG-022,Role Dropdown,/admin/users,INPUT,,onChange,GET /api/admin/roles,rbac.role,Create and edit modal,Done,Done,,
2.1.6,A-UREG-023,Status Select,/admin/users,INPUT,,onChange,,,Edit modal only - ACTIVE/INACTIVE,Done,Done,,
2.1.6,A-UREG-024,Inactive Users Section,/admin/users,CONTAINER,,onClick,,,Collapsible section below active table,Done,,,
2.1.6,A-UREG-025,Resend Confirm Dialog,/admin/users,CONTAINER,,onOpen,,,Warns about password reset before resend,Done,,,
2.1.6,A-UREG-026,Registered Date Column,/admin/users,DISPLAY,,onLoad,,,Formatted account creation date,Done,Done,,
2.1.6,A-UREG-027,Role Column,/admin/users,DISPLAY,,onLoad,,"rbac.user_role, rbac.role",Shows assigned role name,Done,Done,,
2.1.7,A-ROLES-001,Users Tab,/admin/roles,CONTAINER,,onClick,,,Removed - role/status editing moved to User Management,Deprecated,,,
2.1.7,A-ROLES-002,Roles Tab,/admin/roles,CONTAINER,,onClick,,,No longer needed - single content area,Deprecated,,,
2.1.7,A-ROLES-003,System Users Table,/admin/roles,DISPLAY,,onLoad,GET /api/admin/users,"auth.user_account, rbac.user_role",Moved to User Management,Deprecated,,,
2.1.7,A-ROLES-004,Roles Table,/admin/roles,DISPLAY,,onLoad,GET /api/admin/roles,"rbac.role, rbac.role_permission",,,,,
2.1.7,A-ROLES-005,Add User Button,/admin/roles,ACTION,,onClick,,,Moved to User Management,Deprecated,,,
2.1.7,A-ROLES-006,Add Role Button,/admin/roles,ACTION,,onClick,,,Opens role modal,,,,
,,,,,,,,,[DONE] Batch 5C: Delete Role button added with two-step confirm + auto-unassign.,,,,
2.1.7,A-ROLES-007,User Form Modal,/admin/roles,CONTAINER,,onOpen,,,Moved to User Management,Deprecated,,,
2.1.7,A-ROLES-008,User Email Input,/admin/roles,INPUT,,onChange,,,Moved to User Management,Deprecated,,,
2.1.7,A-ROLES-009,User Phone Input,/admin/roles,INPUT,,onChange,,,Moved to User Management,Deprecated,,,
2.1.7,A-ROLES-010,User IC/Passport Input,/admin/roles,INPUT,,onChange,,,Moved to User Management,Deprecated,,,
2.1.7,A-ROLES-011,Role Assignment Dropdown,/admin/roles,INPUT,,onChange,GET /api/admin/roles,rbac.role,Moved to User Management,Deprecated,,,
2.1.7,A-ROLES-012,Status Toggle,/admin/roles,INPUT,,onChange,,,Moved to User Management,Deprecated,,,
2.1.7,A-ROLES-013,Save User Button,/admin/roles,ACTION,,onClick,POST /api/admin/users,"auth.user_account, rbac.user_role, audit.audit_log",Moved to User Management,Deprecated,,,
2.1.7,A-ROLES-014,Role Form Modal,/admin/roles,CONTAINER,,onOpen,,,,,,,
2.1.7,A-ROLES-015,Role Name Input,/admin/roles,INPUT,,onChange,,,No duplicates,,,,
2.1.7,A-ROLES-016,Module Permissions Grid,/admin/roles,INPUT,,onChange,,,Checkbox grid per module. Shows existing permissions on edit. Has toggle-all per column,,,,
2.1.7,A-ROLES-017,Save Role Button,/admin/roles,ACTION,,onClick,POST /api/admin/roles,"rbac.role, rbac.role_permission, audit.audit_log",Or PATCH,,,,
2.1.7,A-ROLES-018,Toggle-All Checkbox Row,/admin/roles,INPUT,,onChange,,,Per-column select/deselect all modules,Done,,,
2.1.7,A-ROLES-019,Delete Role Button,/admin/roles,ACTION,,onClick,DELETE /api/admin/roles/:id,"rbac.role, rbac.user_role, rbac.role_permission, audit.audit_log",Two-step confirm - warns about user unassignment,Done,Done,,
2.1.7,A-ROLES-020,Users Count Column,/admin/roles,DISPLAY,,onLoad,,rbac.user_role,Shows assigned user count per role,Done,Done,,
2.1.7,A-ROLES-021,System Role Lock Warning,/admin/roles,DISPLAY,,onOpen,,,Yellow banner + disabled checkboxes for system roles - prevents lockout,Done,Done,,
2.1.6,A-PREM-001,Add Premise Button,/admin/premises,ACTION,,onClick,,,Opens modal,Done,,,
2.1.6,A-PREM-002,Premise List Table,/admin/premises,DISPLAY,,onLoad,GET /api/admin/premises,core.premise,"Columns: Code, State, District, Address, Created, Actions",Done,Done,Done,
2.1.6,A-PREM-003,Search Bar,/admin/premises,INPUT,,onChange,GET /api/admin/premises?search=,core.premise,"Searches by code, state, district",Done,Done,,
2.1.6,A-PREM-004,Premise Form Modal,/admin/premises,CONTAINER,,onOpen,,,Create and edit premise,Done,,,
2.1.6,A-PREM-005,Premise Code Input,/admin/premises,INPUT,,onChange,,,Required unique code,Done,,,
2.1.6,A-PREM-006,State Input,/admin/premises,INPUT,,onChange,,,Optional state field,Done,,,
2.1.6,A-PREM-007,District Input,/admin/premises,INPUT,,onChange,,,Optional district field,Done,,,
2.1.6,A-PREM-008,Address Input,/admin/premises,INPUT,,onChange,,,Optional address field,Done,,,
2.1.6,A-PREM-009,Edit Premise Button,/admin/premises,ACTION,,onClick,PATCH /api/admin/premises/:id,"core.premise, audit.audit_log",Per-row edit,Done,Done,,
2.1.6,A-PREM-010,Archive Premise Button,/admin/premises,ACTION,,onClick,DELETE /api/admin/premises/:id,"core.premise, audit.audit_log",Checks if assigned to active users first (409),Done,Done,,
2.1.6,A-PREM-011,Archived Records Toggle,/admin/premises,ACTION,,onClick,GET /api/admin/premises/archived,core.premise,Shows/hides archived premises,Done,Done,,
2.2.2,U-DASH-001,Total Farmers Card,/dashboard,CONTAINER,,onLoad,GET /api/dashboard,core.user_profile,,,,,
2.2.2,U-DASH-002,Goats by Gender Card,/dashboard,CONTAINER,,onLoad,GET /api/dashboard,farm.goat,,,,,
2.2.2,U-DASH-003,Goats by Breed Card,/dashboard,CONTAINER,,onLoad,GET /api/dashboard,"farm.goat, admin_ref.breed_type",,,,,
2.2.2,U-DASH-004,Breed Distribution Chart,/dashboard,DISPLAY,,onLoad,GET /api/dashboard,"farm.goat, admin_ref.breed_type",,,,,
2.2.3,U-RFID-001,RFID Tag Input,/rfid-scan,INPUT,,onChange,,,Manual entry or scanner,,,,
2.2.3,U-RFID-002,Scan Button,/rfid-scan,ACTION,,onClick,GET /api/rfid/scan/:tag_code,"farm.rfid_tag, farm.goat, admin_ref.breed_type, farm.health_record, farm.vaccination, admin_ref.vaccine_type",Must return in under 2 seconds,,,,
2.2.3,U-RFID-003,Goat Information Card,/rfid-scan,CONTAINER,,onResult,,,Shows all goat details,,,,
2.2.3,U-RFID-004,Goat ID Display,/rfid-scan,DISPLAY,,display,,,,,,,
2.2.3,U-RFID-005,Gender Display,/rfid-scan,DISPLAY,,display,,,,,,,
2.2.3,U-RFID-006,Breed Display,/rfid-scan,DISPLAY,,display,,,,,,,
2.2.3,U-RFID-007,Age Display (Calculated),/rfid-scan,DISPLAY,,display,,,"Days if <30, Months if <12, Years",,,,
2.2.3,U-RFID-008,Weight Display,/rfid-scan,DISPLAY,,display,,,,,,,
2.2.3,U-RFID-009,Health Status Display,/rfid-scan,DISPLAY,,display,,,,,,,
2.2.3,U-RFID-010,Sire and Dam ID Display,/rfid-scan,DISPLAY,,display,,,,,,,
2.2.3,U-RFID-011,Vaccination Info Display,/rfid-scan,DISPLAY,,display,,,Type + dates,,,,
2.2.3,U-RFID-012,Invalid Tag Error Alert,/rfid-scan,DISPLAY,,onError,,,,,,,
2.2.4,U-ROLES-001,Users Tab,/users-roles,CONTAINER,,onClick,,,,,,,
2.2.4,U-ROLES-002,Roles Tab,/users-roles,CONTAINER,,onClick,,,,,,,
2.2.4,U-ROLES-003,Users Table,/users-roles,DISPLAY,,onLoad,GET /api/users,"auth.user_account, rbac.user_role",Premise-scoped,,,,
2.2.4,U-ROLES-004,Roles Table,/users-roles,DISPLAY,,onLoad,GET /api/roles,rbac.role,Premise-scoped,,,,
2.2.4,U-ROLES-005,Add User Button,/users-roles,ACTION,,onClick,,,,,,,
2.2.4,U-ROLES-006,User Form Modal,/users-roles,CONTAINER,,onOpen,,,,,,,
2.2.4,U-ROLES-007,Save User Button,/users-roles,ACTION,,onClick,POST /api/users,"auth.user_account, rbac.user_role, audit.audit_log",,,,,
2.2.5,U-GOAT-001,Register Goat Button,/goats,ACTION,,onClick,,,Opens modal,,,,
2.2.5,U-GOAT-002,Goat List Table,/goats,DISPLAY,,onLoad,GET /api/goats,"farm.goat, admin_ref.breed_type",Paginated,,,,
2.2.5,U-GOAT-003,Search Bar,/goats,INPUT,,onChange,GET /api/goats?q=,farm.goat,Search by goat ID,,,,
2.2.5,U-GOAT-004,Gender Filter,/goats,INPUT,,onChange,GET /api/goats?gender=,farm.goat,,,,,
2.2.5,U-GOAT-005,Breed Filter,/goats,INPUT,,onChange,GET /api/goats?breed=,farm.goat,,,,,
2.2.5,U-GOAT-006,Birth Date Range Filter,/goats,INPUT,,onChange,GET /api/goats?birth_from=&birth_to=,farm.goat,,,,,
2.2.5,U-GOAT-007,Goat Registration Form Modal,/goats,CONTAINER,,onOpen,,,,,,,
2.2.5,U-GOAT-008,Goat ID Input,/goats,INPUT,,onChange,,,"Required, unique",,,,
2.2.5,U-GOAT-009,Sire ID Dropdown,/goats,INPUT,,onChange,GET /api/goats?gender=male,farm.goat,,,,,
2.2.5,U-GOAT-010,Dam ID Dropdown,/goats,INPUT,,onChange,GET /api/goats?gender=female,farm.goat,,,,,
2.2.5,U-GOAT-011,Goat Image Upload,/goats,INPUT,,onChange,,,File input,,,,
2.2.5,U-GOAT-012,Gender Selection,/goats,INPUT,,onChange,,,Radio buttons,,,,
2.2.5,U-GOAT-013,Breed Dropdown,/goats,INPUT,,onChange,GET /api/admin/goat-breeds,admin_ref.breed_type,From admin reference,,,,
2.2.5,U-GOAT-014,Weight Input,/goats,INPUT,,onChange,,,"Numeric, kg",,,,
2.2.5,U-GOAT-015,Birth Date Picker,/goats,INPUT,,onChange,,,,,,,
2.2.5,U-GOAT-016,Save Goat Button,/goats,ACTION,,onClick,POST /api/goats,"farm.goat, farm.rfid_tag, audit.audit_log",,,,,
2.2.5,U-GOAT-017,Edit Row Button,/goats,ACTION,,onClick,,,Permission-based,,,,
2.2.5,U-GOAT-018,Delete Row Button,/goats,ACTION,,onClick,DELETE /api/goats/:id,"farm.goat, audit.audit_log",Confirm first,,,,
2.2.5,U-GOAT-019,Upload Image Button,/goats,ACTION,,onClick,POST /api/goats/:id/image,farm.goat_image,After goat created,,,,
2.2.6,U-SLAUGH-001,Register Slaughter Button,/slaughter,ACTION,,onClick,,,Opens modal,,,,
2.2.6,U-SLAUGH-002,Slaughter List Table,/slaughter,DISPLAY,,onLoad,GET /api/slaughter,"farm.slaughter, farm.goat",,,,,
2.2.6,U-SLAUGH-003,Search Bar,/slaughter,INPUT,,onChange,GET /api/slaughter?q=,farm.slaughter,By goat ID or buyer,,,,
2.2.6,U-SLAUGH-004,Slaughter Form Modal,/slaughter,CONTAINER,,onOpen,,,,,,,
2.2.6,U-SLAUGH-005,Goat ID Dropdown,/slaughter,INPUT,,onChange,GET /api/goats,farm.goat,,,,,
2.2.6,U-SLAUGH-006,Gender Display (Auto),/slaughter,DISPLAY,,display,,,Filled from goat selection,,,,
2.2.6,U-SLAUGH-007,Weight Input,/slaughter,INPUT,,onChange,,,kg,,,,
2.2.6,U-SLAUGH-008,Sold Amount Input,/slaughter,INPUT,,onChange,,,Currency,,,,
2.2.6,U-SLAUGH-009,Buyer Name Input,/slaughter,INPUT,,onChange,,,,,,,
2.2.6,U-SLAUGH-010,Slaughter Cost Input,/slaughter,INPUT,,onChange,,,Currency,,,,
2.2.6,U-SLAUGH-011,Save Slaughter Button,/slaughter,ACTION,,onClick,POST /api/slaughter,"farm.slaughter, farm.goat, audit.audit_log",Updates goat status,,,,
2.2.6,U-SLAUGH-012,Edit Row Button,/slaughter,ACTION,,onClick,PATCH /api/slaughter/:id,"farm.slaughter, audit.audit_log",,,,,
2.2.6,U-SLAUGH-013,Delete Row Button,/slaughter,ACTION,,onClick,DELETE /api/slaughter/:id,"farm.slaughter, audit.audit_log",,,,,
2.2.7,U-HEALTH-001,Add Health Record Button,/health,ACTION,,onClick,,,Opens modal,,,,
2.2.7,U-HEALTH-002,Health Records Table,/health,DISPLAY,,onLoad,GET /api/health-records,"farm.health_record, farm.goat, admin_ref.breed_type",,,,,
2.2.7,U-HEALTH-003,Search Bar,/health,INPUT,,onChange,GET /api/health-records?q=,farm.health_record,,,,,
2.2.7,U-HEALTH-004,Health Record Form Modal,/health,CONTAINER,,onOpen,,,,,,,
2.2.7,U-HEALTH-005,Goat ID Dropdown,/health,INPUT,,onChange,GET /api/goats,farm.goat,,,,,
2.2.7,U-HEALTH-006,Gender/Breed/Age Display (Auto),/health,DISPLAY,,display,,,Filled from goat selection,,,,
2.2.7,U-HEALTH-007,Health Status Dropdown,/health,INPUT,,onChange,,,Healthy/Sick/etc,,,,
2.2.7,U-HEALTH-008,Treatment Textarea,/health,INPUT,,onChange,,,,,,,
2.2.7,U-HEALTH-009,Observation Textarea,/health,INPUT,,onChange,,,,,,,
2.2.7,U-HEALTH-010,Save Health Record Button,/health,ACTION,,onClick,POST /api/health-records,"farm.health_record, audit.audit_log",,,,,
2.2.7,U-HEALTH-011,Edit Row Button,/health,ACTION,,onClick,PATCH /api/health-records/:id,"farm.health_record, audit.audit_log",,,,,
2.2.7,U-HEALTH-012,Delete Row Button,/health,ACTION,,onClick,DELETE /api/health-records/:id,"farm.health_record, audit.audit_log",,,,,
2.2.8,U-VAX-001,Add Vaccination Button,/vaccinations,ACTION,,onClick,,,Opens modal,,,,
2.2.8,U-VAX-002,Vaccination List Table,/vaccinations,DISPLAY,,onLoad,GET /api/vaccinations,"farm.vaccination, admin_ref.vaccine_type, farm.goat",,,,,
2.2.8,U-VAX-003,Upcoming Vaccinations Alert,/vaccinations,DISPLAY,,onLoad,GET /api/vaccinations/upcoming,"farm.vaccination, farm.goat",Reminder widget,,,,
2.2.8,U-VAX-004,Vaccination Form Modal,/vaccinations,CONTAINER,,onOpen,,,,,,,
2.2.8,U-VAX-005,Goat ID Dropdown,/vaccinations,INPUT,,onChange,GET /api/goats,farm.goat,,,,,
2.2.8,U-VAX-006,Gender/Breed/Age Display (Auto),/vaccinations,DISPLAY,,display,,,Filled from goat selection,,,,
2.2.8,U-VAX-007,Vaccine Type Dropdown,/vaccinations,INPUT,,onChange,GET /api/admin/vaccine-types,admin_ref.vaccine_type,From admin reference,,,,
2.2.8,U-VAX-008,Vaccinated Date Picker,/vaccinations,INPUT,,onChange,,,,,,,
2.2.8,U-VAX-009,Next Vaccinated Date Display (Calculated),/vaccinations,DISPLAY,,display,,,Auto: vaccinated_date + interval_days,,,,
2.2.8,U-VAX-010,Save Vaccination Button,/vaccinations,ACTION,,onClick,POST /api/vaccinations,"farm.vaccination, admin_ref.vaccine_type, audit.audit_log",BFF calculates next_date,,,,
2.2.8,U-VAX-011,Edit Row Button,/vaccinations,ACTION,,onClick,PATCH /api/vaccinations/:id,"farm.vaccination, audit.audit_log",,,,,
2.2.8,U-VAX-012,Delete Row Button,/vaccinations,ACTION,,onClick,DELETE /api/vaccinations/:id,"farm.vaccination, audit.audit_log",,,,,
